4177,nsf/99,NSF,2000-10-21,Norway,,Spikkestad,Kretsmesterskap for lag
4178,nsf/990,NSF,2007-06-11,Norway,,Bergen,Åpent stevne
4179,nsf/992,NSF,2007-06-14,Norway,,,EM Funksjonshemmede
4180,nsf/994,NSF,2007-06-20,Norway,,Askim,Seriestevne
4181,nsf/995,NSF,2007-06-16,Norway,,Grubhei,KM Benkpress
4182,nsf/996,NSF,2007-06-12,Norway,,Fræna,Klubbstevne
4183,nsf/997,NSF,2007-06-16,Norway,,Sande,Klubbmesterskap
4184,nsf/998,NSF,2007-04-28,Norway,,Odderneshallen,Klubbmesterskap
4185,nsf/999,NSF,2007-05-19,Norway,,Borås AK,Seriestevne
4186,nzpf/0301,NZPF,2003-02-15,New Zealand,WKO,Te Awamutu,Waikato/BOP Icebreaker
4187,nzpf/0501,NZPF,2005-09-17,New Zealand,WGN,Wellington,New Zealand Bench Press Champs
4188,nzpf/0601,NZPF,2006-01-01,New Zealand,NTL,Kerikeri,Northland Powerlifting Championships
4189,nzpf/0701,NZPF,2007-07-01,New Zealand,AKL,Auckland,Auckland Benchpress Champs
4190,nzpf/0702,NZPF,2007-02-24,New Zealand,NTL,Kerikeri,Qualifying contest
4191,nzpf/0703,NZPF,2007-02-24,New Zealand,WGN,Wellington,Powerhouse Novice Competition
4192,nzpf/0704,NZPF,2007-03-10,New Zealand,OTA,Dunedin,Otago Powerlifting Club Lift
4193,nzpf/0705,NZPF,2007-04-28,New Zealand,OTA,Dunedin,Otago Champs
4194,nzpf/0706,NZPF,2007-01-01,New Zealand,,,Central Districts Powerlifting Championships
4195,nzpf/0707,NZPF,2007-04-21,New Zealand,CAN,Timaru,New Zealand International Bench Press Selection
4196,nzpf/0708,NZPF,2007-05-12,New Zealand,NTL,Dargaville,Northland Bench Press Championships
4197,nzpf/0709,NZPF,2007-10-27,New Zealand,,,New Zealand Bench Press Champs
4198,nzpf/0710,NZPF,2007-09-06,New Zealand,WKO,Hamilton,WBOP Benchpress Champs
4199,nzpf/0711,NZPF,2007-03-10,New Zealand,CAN,Ashburton,Canterbury Bench Press Champs
4200,nzpf/0712,NZPF,2007-04-07,New Zealand,CAN,Christchurch,Canterbury 3 lift
4201,nzpf/0713,NZPF,2007-04-28,New Zealand,BOP,Tauranga,WBOP Champs
4202,nzpf/0714,NZPF,2007-01-01,New Zealand,,,South Island Championships
4203,nzpf/0801,NZPF,2008-07-01,New Zealand,AKL,Auckland,Auckland Benchpress Champs
4204,nzpf/0802,NZPF,2008-05-03,New Zealand,OTA,Dunedin,Otago Powerlifting Championships
4205,nzpf/0803,NZPF,2008-05-17,New Zealand,WKO,Hamilton,Waikato/BOP Benchpress Champs
4206,nzpf/0804,NZPF,2008-04-26,New Zealand,BOP,Tauranga,Waikato/BOP Champs
4207,nzpf/0805,NZPF,2008-06-21,New Zealand,BOP,Tauranga,North Island Champs
4208,nzpf/0806,NZPF,2008-06-14,New Zealand,OTA,Dunedin,South Island Powerlifting Championships
4209,nzpf/0807,NZPF,2008-05-03,New Zealand,OTA,Dunedin,Otago Powerlifting & Olympic Lifting Championships
4210,nzpf/0808,NZPF,2008-05-17,New Zealand,NTL,Kerikeri,Northland Bench Press Championships
4211,nzpf/0809,NZPF,2008-03-29,New Zealand,NTL,Dargaville,Northland Powerlifting Championships
4212,nzpf/0810,NZPF,2008-01-01,New Zealand,,,Central Districts Benchpress Championship
4213,nzpf/0811,NZPF,2008-04-26,New Zealand,,,Central Districts Championships
4214,nzpf/0812,NZPF,2008-01-01,New Zealand,CAN,,Canterbury Powerlifting Championships
4215,nzpf/0901,NZPF,2009-05-01,New Zealand,AKL,Auckland,Auckland 3-Lift Championships
4216,nzpf/0902,NZPF,2009-06-01,New Zealand,AKL,Auckland,Auckland/North Island Bench Champs
4217,nzpf/0903,NZPF,2009-07-04,New Zealand,OTA,Dunedin,Otago Southland Special Olympian Qualifier
4218,nzpf/0904,NZPF,2009-05-02,New Zealand,OTA,Dunedin,Otago Powerlifting Championships
4219,nzpf/0905,NZPF,2009-03-23,New Zealand,NTL,Kerikeri,Northland Powerlifting Championships
4220,nzpf/0906,NZPF,2009-10-17,New Zealand,CAN,Christchurch,National Bench Press Championship
4221,nzpf/1001,NZPF,2010-03-07,New Zealand,AKL,Auckland,Auckland Novice Champs
4222,nzpf/1002,NZPF,2010-05-01,New Zealand,AKL,Auckland,Auckland 3-Lift Championships
4223,nzpf/1003,NZPF,2010-07-03,New Zealand,AKL,Auckland,Auckland Benchpress Championships
4224,nzpf/1004,NZPF,2010-07-25,New Zealand,AKL,Auckland,Auckland Novice Championships
4225,nzpf/1005,NZPF,2010-08-28,New Zealand,AKL,Auckland,Auckland University Novice Championship
4226,nzpf/1006,NZPF,2010-11-10,New Zealand,WKO,,WBOP Novice Contest
4227,nzpf/1007,NZPF,2010-07-03,New Zealand,OTA,Dunedin,Special Olympian Otago Championships
4228,nzpf/1008,NZPF,2010-11-13,New Zealand,OTA,Dunedin,OAWLA Push-n-Pull
4229,nzpf/1009,NZPF,2010-09-18,New Zealand,OTA,Dunedin,Otago Amateur Weightlifting Association Club Bench Press
4230,nzpf/1010,NZPF,2010-07-17,New Zealand,OTA,Dunedin,Otago Amateur Weightlifting Association Club Bench Press
4231,nzpf/1011,NZPF,2010-05-15,New Zealand,BOP,Tauranga,WBOP 3 Lift Championship
4232,nzpf/1012,NZPF,2010-03-20,New Zealand,CAN,Canterbury,Canterbury Bench Press Championship
4233,nzpf/1013,NZPF,2010-10-16,New Zealand,NTL,Whangarei,National Bench Press Championships
4234,nzpf/1101,NZPF,2011-03-05,New Zealand,AKL,Auckland,Auckland 3-Lift Novice Championship
4235,nzpf/1102,NZPF,2011-05-06,New Zealand,AKL,Auckland,Auckland Powerlifting Championships
4236,nzpf/1103,NZPF,2011-07-02,New Zealand,AKL,Auckland,Auckland Benchpress Championships
4237,nzpf/1104,NZPF,2011-07-23,New Zealand,AKL,Auckland,Auckland 3-Lift & Benchpress Novice Competition
4238,nzpf/1105,NZPF,2011-11-05,New Zealand,AKL,Auckland,Auckland 3-Lift Novice Competition
4239,nzpf/1107,NZPF,2011-02-05,New Zealand,BOP,Mt Mauganui,2011 Ice Breaker
4240,nzpf/1108,NZPF,2011-09-18,New Zealand,WKO,Te Awamutu,Push Pull
4241,nzpf/1109,NZPF,2011-05-28,New Zealand,WKO,Hamilton,WBOP Benchpress Champs
4242,nzpf/1110,NZPF,2011-04-16,New Zealand,BOP,Tauranga,WBOP Champs
4243,nzpf/1111,NZPF,2011-07-02,New Zealand,OTA,Dunedin,Otago Special Olympic Powerlifting Championships
4244,nzpf/1112,NZPF,2011-07-09,New Zealand,OTA,Dunedin,Otago Weightlifting Club Bench Press -Special Olympic Athletes
4245,nzpf/1113,NZPF,2011-09-03,New Zealand,OTA,Dunedin,Otago Weightlifting Club Bench Press -Special Olympic Athletes
4246,nzpf/1114,NZPF,2011-03-07,New Zealand,OTA,Dunedin,Otago Powerlifting & Bench Press Championships
4247,nzpf/1115,NZPF,2011-11-19,New Zealand,STL,Balclutha,Southern Weightlifting Push-n-Pull
4248,nzpf/1116,NZPF,2011-07-09,New Zealand,OTA,Dunedin,Otago Amateur Weightlifting Association Bench Press Competition
